"Bron/Techniek";"Energietoepassingen";"Perioden";"Bruto eindverbruik hernieuwbare energie/Bruto eindverbruik (TJ)";"Bruto eindverbruik hernieuwbare energie/Bruto eindverbruik relatief (% van totaal eindverbruik energie)";"Vermeden verbruik van fossiele energie/Vermeden verbruik (TJ)";"Vermeden verbruik van fossiele energie/Vermeden verbruik relatief (% van totaal energieverbruik)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie (kton)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie relatief (% van totale CO2 emissie)"
"Aardwarmte";"Totaal energietoepassingen";"2017**";"    3047";"    0.14";"    3044";"    0.10";"     167";"    0.10"
"Aardwarmte";"Totaal energietoepassingen";"2018**";"    3731";"    0.18";"    3727";"    0.12";"     204";"    0.13"
"Aardwarmte";"Elektriciteit";"2017**";"";"";"";"";"";""
"Aardwarmte";"Elektriciteit";"2018**";"";"";"";"";"";""
"Aardwarmte";"Warmte";"2017**";"    3047";"    0.14";"    3044";"    0.10";"     167";"    0.10"
"Aardwarmte";"Warmte";"2018**";"    3731";"    0.18";"    3727";"    0.12";"     204";"    0.13"
"Aardwarmte";"Vervoer";"2017**";"";"";"";"";"";""
"Aardwarmte";"Vervoer";"2018**";"";"";"";"";"";""
"Totaal bodemenergie";"Totaal energietoepassingen";"2017**";"    4079";"    0.19";"    3950";"    0.12";"     193";"    0.12"
"Totaal bodemenergie";"Totaal energietoepassingen";"2018**";"    4375";"    0.21";"    4151";"    0.13";"     201";"    0.12"
"Totaal bodemenergie";"Elektriciteit";"2017**";"";"";"";"";"";""
"Totaal bodemenergie";"Elektriciteit";"2018**";"";"";"";"";"";""
"Totaal bodemenergie";"Warmte";"2017**";"    4079";"    0.19";"    3950";"    0.12";"     193";"    0.12"
"Totaal bodemenergie";"Warmte";"2018**";"    4375";"    0.21";"    4151";"    0.13";"     201";"    0.12"
"Totaal bodemenergie";"Vervoer";"2017**";"";"";"";"";"";""
"Totaal bodemenergie";"Vervoer";"2018**";"";"";"";"";"";""
"Bodemwarmte, totaal";"Totaal energietoepassingen";"2017**";"    4079";"    0.19";"    2808";"    0.09";"     108";"    0.07"
"Bodemwarmte, totaal";"Totaal energietoepassingen";"2018**";"    4375";"    0.21";"    3009";"    0.10";"     115";"    0.07"
"Bodemwarmte, totaal";"Elektriciteit";"2017**";"";"";"";"";"";""
"Bodemwarmte, totaal";"Elektriciteit";"2018**";"";"";"";"";"";""
"Bodemwarmte, totaal";"Warmte";"2017**";"    4079";"    0.19";"    2808";"    0.09";"     108";"    0.07"
"Bodemwarmte, totaal";"Warmte";"2018**";"    4375";"    0.21";"    3009";"    0.10";"     115";"    0.07"
"Bodemwarmte, totaal";"Vervoer";"2017**";"";"";"";"";"";""
"Bodemwarmte, totaal";"Vervoer";"2018**";"";"";"";"";"";""
"Bodemwarmte, warmtepompen";"Totaal energietoepassingen";"2017**";"    4079";"    0.19";"    2639";"    0.08";"      98";"    0.06"
"Bodemwarmte, warmtepompen";"Totaal energietoepassingen";"2018**";"    4375";"    0.21";"    2840";"    0.09";"     106";"    0.07"
"Bodemwarmte, warmtepompen";"Elektriciteit";"2017**";"";"";"";"";"";""
"Bodemwarmte, warmtepompen";"Elektriciteit";"2018**";"";"";"";"";"";""
"Bodemwarmte, warmtepompen";"Warmte";"2017**";"    4079";"    0.19";"    2639";"    0.08";"      98";"    0.06"
"Bodemwarmte, warmtepompen";"Warmte";"2018**";"    4375";"    0.21";"    2840";"    0.09";"     106";"    0.07"
"Bodemwarmte, warmtepompen";"Vervoer";"2017**";"";"";"";"";"";""
"Bodemwarmte, warmtepompen";"Vervoer";"2018**";"";"";"";"";"";""
"Bodemwarmte, zonder warmtepompen";"Totaal energietoepassingen";"2017**";"";"";"     169";"    0.01";"      10";"    0.01"
"Bodemwarmte, zonder warmtepompen";"Totaal energietoepassingen";"2018**";"";"";"       .";"       .";"       .";"       ."
"Bodemwarmte, zonder warmtepompen";"Elektriciteit";"2017**";"";"";"";"";"";""
"Bodemwarmte, zonder warmtepompen";"Elektriciteit";"2018**";"";"";"";"";"";""
"Bodemwarmte, zonder warmtepompen";"Warmte";"2017**";"";"";"     169";"    0.01";"      10";"    0.01"
"Bodemwarmte, zonder warmtepompen";"Warmte";"2018**";"";"";"       .";"       .";"       .";"       ."
"Bodemwarmte, zonder warmtepompen";"Vervoer";"2017**";"";"";"";"";"";""
"Bodemwarmte, zonder warmtepompen";"Vervoer";"2018**";"";"";"";"";"";""
"Bodemkoude";"Totaal energietoepassingen";"2017**";"";"";"    1142";"    0.04";"      85";"    0.05"
"Bodemkoude";"Totaal energietoepassingen";"2018**";"";"";"       .";"       .";"       .";"       ."
"Bodemkoude";"Elektriciteit";"2017**";"";"";"";"";"";""
"Bodemkoude";"Elektriciteit";"2018**";"";"";"";"";"";""
"Bodemkoude";"Warmte";"2017**";"";"";"    1142";"    0.04";"      85";"    0.05"
"Bodemkoude";"Warmte";"2018**";"";"";"       .";"       .";"       .";"       ."
"Bodemkoude";"Vervoer";"2017**";"";"";"";"";"";""
"Bodemkoude";"Vervoer";"2018**";"";"";"";"";"";""
"Buitenluchtwarmte";"Totaal energietoepassingen";"2017**";"    3405";"    0.16";"    1091";"    0.03";"     -16";"   -0.01"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2018**";"    4470";"    0.21";"    1423";"    0.05";"     -22";"   -0.01"
"Buitenluchtwarmte";"Elektriciteit";"2017**";"";"";"";"";"";""
"Buitenluchtwarmte";"Elektriciteit";"2018**";"";"";"";"";"";""
"Buitenluchtwarmte";"Warmte";"2017**";"    3405";"    0.16";"    1091";"    0.03";"     -16";"   -0.01"
"Buitenluchtwarmte";"Warmte";"2018**";"    4470";"    0.21";"    1423";"    0.05";"     -22";"   -0.01"
"Buitenluchtwarmte";"Vervoer";"2017**";"";"";"";"";"";""
"Buitenluchtwarmte";"Vervoer";"2018**";"";"";"";"";"";""
"Totaal biomassa";"Totaal energietoepassingen";"2017**";"   84967";"    4.02";"   88976";"    2.81";"    5857";"    3.55"
"Totaal biomassa";"Totaal energietoepassingen";"2018**";"   95349";"    4.50";"   99089";"    3.18";"    6628";"    4.12"
"Totaal biomassa";"Elektriciteit";"2017**";"   17025";"    0.80";"   32236";"    1.02";"    2451";"    1.49"
